LOCATION;Country;SUBJECT;Subject;MEASURE;Measure;FREQUENCY;Frequency;TIME;Period;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2008-Q2;Q2-2008;SEK;Swedish Krona;6;Millions;2021;2021;298912;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2008-Q3;Q3-2008;SEK;Swedish Krona;6;Millions;2021;2021;299911;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2008-Q4;Q4-2008;SEK;Swedish Krona;6;Millions;2021;2021;299285;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2009-Q1;Q1-2009;SEK;Swedish Krona;6;Millions;2021;2021;307385;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2009-Q2;Q2-2009;SEK;Swedish Krona;6;Millions;2021;2021;304832;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2009-Q3;Q3-2009;SEK;Swedish Krona;6;Millions;2021;2021;306006;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2009-Q4;Q4-2009;SEK;Swedish Krona;6;Millions;2021;2021;306748;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2010-Q1;Q1-2010;SEK;Swedish Krona;6;Millions;2021;2021;307429;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2010-Q2;Q2-2010;SEK;Swedish Krona;6;Millions;2021;2021;309018;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2010-Q3;Q3-2010;SEK;Swedish Krona;6;Millions;2021;2021;308655;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2010-Q4;Q4-2010;SEK;Swedish Krona;6;Millions;2021;2021;310673;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2011-Q1;Q1-2011;SEK;Swedish Krona;6;Millions;2021;2021;310561;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2011-Q2;Q2-2011;SEK;Swedish Krona;6;Millions;2021;2021;311546;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2011-Q3;Q3-2011;SEK;Swedish Krona;6;Millions;2021;2021;312291;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2011-Q4;Q4-2011;SEK;Swedish Krona;6;Millions;2021;2021;312585;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2012-Q1;Q1-2012;SEK;Swedish Krona;6;Millions;2021;2021;314206;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2012-Q2;Q2-2012;SEK;Swedish Krona;6;Millions;2021;2021;316004;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2012-Q3;Q3-2012;SEK;Swedish Krona;6;Millions;2021;2021;318523;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2012-Q4;Q4-2012;SEK;Swedish Krona;6;Millions;2021;2021;319264;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2013-Q1;Q1-2013;SEK;Swedish Krona;6;Millions;2021;2021;321351;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2013-Q2;Q2-2013;SEK;Swedish Krona;6;Millions;2021;2021;321588;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2013-Q3;Q3-2013;SEK;Swedish Krona;6;Millions;2021;2021;321823;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2013-Q4;Q4-2013;SEK;Swedish Krona;6;Millions;2021;2021;323290;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2014-Q1;Q1-2014;SEK;Swedish Krona;6;Millions;2021;2021;323660;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2014-Q2;Q2-2014;SEK;Swedish Krona;6;Millions;2021;2021;326183;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2014-Q3;Q3-2014;SEK;Swedish Krona;6;Millions;2021;2021;327731;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2014-Q4;Q4-2014;SEK;Swedish Krona;6;Millions;2021;2021;329099;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2015-Q1;Q1-2015;SEK;Swedish Krona;6;Millions;2021;2021;330593;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2015-Q2;Q2-2015;SEK;Swedish Krona;6;Millions;2021;2021;330248;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2015-Q3;Q3-2015;SEK;Swedish Krona;6;Millions;2021;2021;334046;;
SWE;Sweden;P3S13;General government final consumption expenditure;LNBQRSA;National currency, chained volume estimates, national reference year, quarterly levels, seasonally adjusted;Q;Quarterly;2015-Q4;Q4-2015;SEK;Swedish Krona;6;Millions;2021;2021;337079;;
