LOCATION;Country;TRANSACTION;Transaction;SECTOR;Sector;MEASURE;Measure;ADJUSTED;Adjusted;TIME;Time;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2008-Q3;Q3-2008;PC;Percentage;0;Units;;;48.8;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2008-Q4;Q4-2008;PC;Percentage;0;Units;;;50.4;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2009-Q1;Q1-2009;PC;Percentage;0;Units;;;47.5;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2009-Q2;Q2-2009;PC;Percentage;0;Units;;;50;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2009-Q3;Q3-2009;PC;Percentage;0;Units;;;51.3;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2009-Q4;Q4-2009;PC;Percentage;0;Units;;;54.2;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2010-Q1;Q1-2010;PC;Percentage;0;Units;;;51.9;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2010-Q2;Q2-2010;PC;Percentage;0;Units;;;51.6;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2010-Q3;Q3-2010;PC;Percentage;0;Units;;;50.4;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2010-Q4;Q4-2010;PC;Percentage;0;Units;;;51.5;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2011-Q1;Q1-2011;PC;Percentage;0;Units;;;48.8;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2011-Q2;Q2-2011;PC;Percentage;0;Units;;;49;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2011-Q3;Q3-2011;PC;Percentage;0;Units;;;48.1;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2011-Q4;Q4-2011;PC;Percentage;0;Units;;;50.5;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2012-Q1;Q1-2012;PC;Percentage;0;Units;;;50.6;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2012-Q2;Q2-2012;PC;Percentage;0;Units;;;50.5;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2012-Q3;Q3-2012;PC;Percentage;0;Units;;;50.6;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2012-Q4;Q4-2012;PC;Percentage;0;Units;;;52.4;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2013-Q1;Q1-2013;PC;Percentage;0;Units;;;55.2;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2013-Q2;Q2-2013;PC;Percentage;0;Units;;;56.2;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2013-Q3;Q3-2013;PC;Percentage;0;Units;;;55.8;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2013-Q4;Q4-2013;PC;Percentage;0;Units;;;56;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2014-Q1;Q1-2014;PC;Percentage;0;Units;;;56.3;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2014-Q2;Q2-2014;PC;Percentage;0;Units;;;57.8;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2014-Q3;Q3-2014;PC;Percentage;0;Units;;;57.4;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2014-Q4;Q4-2014;PC;Percentage;0;Units;;;60.7;;
SWE;Sweden;SAFGD;Total gross debt ;S13G;General government;PCTGDPA;Percentage of GDP, current prices (Nat. Curr.);NSA;Not seasonally adjusted;2015-Q1;Q1-2015;PC;Percentage;0;Units;;;61.3;;
